회사명,종목코드,업종,업종2,업종PER,PER,PBR
아진산업,013310,자동차 신품 부품 제조업,자동차부품,46.67,14.73,0.68
강스템바이오텍,217730,기초 의약물질 및 생물학적 제제 제조업,생물공학,-54.63,N/A,N/A
에이원알폼,234070,산업용 기계 및 장비 임대업,N/A,N/A,N/A,N/A
에이치엘비제약,047920,자연과학 및 공학 연구개발업,제약,99.58,N/A,N/A
메가엠디,133750,일반 교습 학원,교육서비스,-19.84,21.84,1.29
보광산업,225530,기타 비금속 광물제품 제조업,건축자재,36.34,32.33,2.82
파크시스템스,140860,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",전자장비와기기,65.66,43.94,13.81
에치에프알,230240,통신 및 방송 장비 제조업,통신장비,-92.63,N/A,N/A
예스티,122640,특수 목적용 기계 제조업,반도체와반도체장비,20.53,N/A,N/A
코스맥스엔비티,222040,기타 식품 제조업,제약,99.58,N/A,N/A
라온테크,232680,특수 목적용 기계 제조업,N/A,N/A,N/A,N/A
멕아이씨에스,058110,의료용 기기 제조업,건강관리장비와용품,208.42,12.16,8.22
에이치엔에스하이텍,044990,전자부품 제조업,N/A,N/A,N/A,N/A
미애부,225850,생활용품 도매업,N/A,N/A,N/A,N/A
엔에스,217820,특수 목적용 기계 제조업,전기제품,206.26,37.09,3.62
미래테크놀로지,213090,소프트웨어 개발 및 공급업,IT서비스,24.96,22.09,0.81
세진중공업,075580,선박 및 보트 건조업,조선,-22.00,335.29,2.04
하이즈항공,221840,"항공기,우주선 및 부품 제조업",우주항공과국방,50.80,N/A,N/A
캔서롭,180400,기타 과학기술 서비스업,생명과학도구및서비스,38.27,N/A,N/A
매직마이크로,127160,전자부품 제조업,디스플레이장비및부품,86.49,N/A,N/A
케이디켐,221980,기타 화학제품 제조업,화학,69.00,6.87,0.64
네오오토,212560,자동차 신품 부품 제조업,자동차부품,46.67,11.70,0.50
엔투텍,227950,특수 목적용 기계 제조업,반도체와반도체장비,20.53,N/A,N/A
케어젠,214370,기초 의약물질 및 생물학적 제제 제조업,생물공학,-54.63,21.89,3.62
아이진,185490,자연과학 및 공학 연구개발업,생물공학,-54.63,N/A,N/A
인카금융서비스,211050,보험 및 연금관련 서비스업,N/A,N/A,N/A,N/A
나무가,190510,전자부품 제조업,핸드셋,-202.00,43.23,3.13
유앤아이,056090,의료용 기기 제조업,건강관리장비와용품,208.42,N/A,N/A
금호에이치티,214330,자동차 신품 부품 제조업,자동차부품,46.67,N/A,N/A
제주항공,089590,항공 여객 운송업,항공사,-4.87,N/A,N/A
본느,226340,기타 화학제품 제조업,화장품,89.76,N/A,N/A
파마리서치바이오,217950,의약품 제조업,N/A,N/A,N/A,N/A
연우,115960,플라스틱제품 제조업,포장재,16.84,30.10,1.54
럭스피아,092590,반도체 제조업,N/A,N/A,N/A,N/A
노브메타파마,229500,자연과학 및 공학 연구개발업,N/A,N/A,N/A,N/A
엔케이맥스,182400,기초 의약물질 및 생물학적 제제 제조업,생명과학도구및서비스,38.27,N/A,N/A
현대코퍼레이션홀딩스,227840,음·식료품 및 담배 도매업,식품과기본식료품소매,128.99,7.83,0.56
엑시콘,092870,특수 목적용 기계 제조업,반도체와반도체장비,20.53,18.84,1.69
이엑스티,226360,토목 건설업,건축자재,36.34,N/A,N/A
엄지하우스,224810,실내건축 및 건축마무리 공사업,N/A,N/A,N/A,N/A
메디쎄이,200580,의료용 기기 제조업,N/A,N/A,N/A,N/A
뉴지랩,214870,통신 및 방송 장비 제조업,통신장비,-92.63,N/A,N/A
케이엠제약,225430,기타 화학제품 제조업,가정용품,14.53,N/A,N/A
한송네오텍,226440,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,N/A,N/A
패션플랫폼,225590,봉제의복 제조업,"섬유,의류,신발,호화품",33.35,9.49,0.92
LIG넥스원,079550,무기 및 총포탄 제조업,우주항공과국방,50.80,29.61,1.42
넷게임즈,225570,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,26.05,10.32
제너셈,217190,특수 목적용 기계 제조업,반도체와반도체장비,20.53,N/A,N/A
타이거일렉,219130,전자부품 제조업,반도체와반도체장비,20.53,12.19,1.58
HDC아이콘트롤스,039570,전기 및 통신 공사업,건설,7.01,N/A,N/A
동일제강,002690,1차 철강 제조업,철강,41.60,75.68,0.31
인포마크,175140,통신 및 방송 장비 제조업,핸드셋,-202.00,N/A,N/A
씨아이에스,222080,특수 목적용 기계 제조업,전기제품,206.26,"8,175.00",14.32
해마로푸드서비스,220630,음·식료품 및 담배 도매업,"호텔,레스토랑,레저",-25.26,16.47,3.36
에이텍티앤,224110,통신 및 방송 장비 제조업,컴퓨터와주변기기,-34.95,46.44,2.26
웹스,196700,합성고무 및 플라스틱 물질 제조업,화학,69.00,N/A,N/A
AJ네트웍스,095570,산업용 기계 및 장비 임대업,도로와철도운송,54.64,N/A,N/A
파인텍,131760,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,N/A,N/A
마이더스AI,222810,소프트웨어 개발 및 공급업,소프트웨어,86.51,N/A,N/A
심텍,222800,전자부품 제조업,전자장비와기기,65.66,11.42,2.60
흥국에프엔비,189980,비알코올음료 및 얼음 제조업,음료,98.61,27.95,1.31
쎄노텍,222420,기타 비금속 광물제품 제조업,화학,69.00,N/A,N/A
칩스앤미디어,094360,소프트웨어 개발 및 공급업,반도체와반도체장비,20.53,38.27,4.38
아시아경제,127710,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",출판,30.57,7.89,0.49
엔에스컴퍼니,224760,토목 건설업,N/A,N/A,N/A,N/A
아이쓰리시스템,214430,전자부품 제조업,우주항공과국방,50.80,280.49,2.30
로지시스,067730,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT서비스,24.96,110.60,3.37
플럼라인생명과학,222670,자연과학 및 공학 연구개발업,N/A,N/A,N/A,N/A
켐트로스,220260,기타 화학제품 제조업,화학,69.00,195.28,4.11
파마리서치프로덕트,214450,생활용품 도매업,제약,99.58,23.76,2.74
MP한강,219550,생활용품 도매업,화장품,89.76,N/A,N/A
펩트론,087010,기초 의약물질 및 생물학적 제제 제조업,생물공학,-54.63,N/A,N/A
이노션,214320,광고업,광고,18.53,19.74,1.64
토니모리,214420,기타 화학제품 제조업,화장품,89.76,N/A,N/A
네추럴FNP,086220,기타 식품 제조업,N/A,N/A,N/A,N/A
아이피몬스터,223220,소프트웨어 개발 및 공급업,N/A,N/A,N/A,N/A
미래에셋생명,085620,보험업,생명보험,12.49,6.12,0.24
RFHIC,218410,통신 및 방송 장비 제조업,통신장비,-92.63,"8,400.00",5.25
동운아나텍,094170,반도체 제조업,핸드셋,-202.00,N/A,N/A
민앤지,214180,기타 정보 서비스업,IT서비스,24.96,14.19,1.75
유테크,178780,전자부품 제조업,핸드셋,-202.00,N/A,N/A
경보제약,214390,기초 의약물질 및 생물학적 제제 제조업,제약,99.58,47.19,2.20
바이오코아,216400,자연과학 및 공학 연구개발업,N/A,N/A,N/A,N/A
유투바이오,221800,기타 과학기술 서비스업,N/A,N/A,N/A,N/A
이큐셀,160600,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,N/A,N/A
켐온,217600,자연과학 및 공학 연구개발업,생명과학도구및서비스,38.27,98.75,5.55
코아스템,166480,의약품 제조업,생물공학,-54.63,N/A,N/A
세미콘라이트,214310,반도체 제조업,디스플레이장비및부품,86.49,N/A,N/A
SK디앤디,210980,부동산 임대 및 공급업,부동산,4.26,7.88,1.87
씨앗,103660,기타 화학제품 제조업,N/A,N/A,N/A,N/A
베셀,177350,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,N/A,N/A
넵튠,217270,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,37.72,7.67
미래생명자원,218150,동물용 사료 및 조제식품 제조업,식품,29.07,60.33,2.13
싸이맥스,160980,특수 목적용 기계 제조업,반도체와반도체장비,20.53,10.64,1.76
러셀,217500,특수 목적용 기계 제조업,반도체와반도체장비,20.53,34.79,3.40
픽셀플러스,087600,전자부품 제조업,반도체와반도체장비,20.53,71.36,0.64
디딤,217620,음식점업,"호텔,레스토랑,레저",-25.26,N/A,N/A
제노포커스,187420,기초 의약물질 및 생물학적 제제 제조업,생물공학,-54.63,N/A,N/A
틸론,217880,소프트웨어 개발 및 공급업,N/A,N/A,N/A,N/A
관악산업,076340,기반조성 및 시설물 축조관련 전문공사업,N/A,N/A,N/A,N/A
우정바이오,215380,자연과학 및 공학 연구개발업,생명과학도구및서비스,38.27,N/A,N/A
토박스코리아,215480,"섬유, 의복, 신발 및 가죽제품 소매업","섬유,의류,신발,호화품",33.35,N/A,N/A
이노인스트루먼트,215790,통신 및 방송 장비 제조업,통신장비,-92.63,N/A,N/A
우리산업,215360,자동차 신품 부품 제조업,자동차부품,46.67,46.75,2.09
메가스터디교육,215200,일반 교습 학원,교육서비스,-19.84,23.89,2.16
썬테크,217320,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",N/A,N/A,N/A,N/A
원텍,216280,의료용 기기 제조업,N/A,N/A,N/A,N/A
이디티,215090,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",우주항공과국방,50.80,N/A,N/A
로보로보,215100,기타 전기장비 제조업,교육서비스,-19.84,N/A,N/A
디알텍,214680,의료용 기기 제조업,건강관리장비와용품,208.42,N/A,N/A
에이비프로바이오,195990,특수 목적용 기계 제조업,기계,-29.49,N/A,N/A
골프존,215000,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,15.28,1.88
클래시스,214150,의료용 기기 제조업,건강관리장비와용품,208.42,29.98,9.60
비엔디생활건강,215050,기타 화학제품 제조업,N/A,N/A,N/A,N/A
엔에스쇼핑,138250,무점포 소매업,인터넷과카탈로그소매,20.09,514.58,0.96
퓨쳐스트림네트웍스,214270,소프트웨어 개발 및 공급업,양방향미디어와서비스,136.40,N/A,N/A
세화아이엠씨,145210,특수 목적용 기계 제조업,자동차부품,46.67,N/A,N/A
포시에스,189690,소프트웨어 개발 및 공급업,소프트웨어,86.51,13.95,1.06
덕산네오룩스,213420,전자부품 제조업,디스플레이장비및부품,86.49,31.68,5.30
한솔제지,213500,"펄프, 종이 및 판지 제조업",종이와목재,41.06,4.41,0.49
디와이파워,210540,특수 목적용 기계 제조업,기계,-29.49,8.11,0.78
국일신동,060480,1차 비철금속 제조업,비철금속,21.86,N/A,N/A
듀켐바이오,176750,의약품 제조업,N/A,N/A,N/A,N/A
바디텍메드,206640,의료용품 및 기타 의약 관련제품 제조업,생명과학도구및서비스,38.27,14.49,4.38
스튜디오산타클로스,204630,창작 및 예술관련 서비스업,방송과엔터테인먼트,-19.04,N/A,N/A
썸에이지,208640,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,N/A,N/A
와이제이엠게임즈,193250,전자부품 제조업,핸드셋,-202.00,N/A,N/A
에이팩트,200470,"그외 기타 전문, 과학 및 기술 서비스업",반도체와반도체장비,20.53,40.50,1.99
휴메딕스,200670,의약품 제조업,제약,99.58,19.24,1.80
래몽래인,200350,"영화, 비디오물, 방송프로그램 제작 및 배급업",N/A,N/A,N/A,N/A
바이오로그디바이스,208710,전자부품 제조업,핸드셋,-202.00,N/A,N/A
서전기전,189860,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기장비,-220.85,N/A,N/A
아스트,067390,"항공기,우주선 및 부품 제조업",우주항공과국방,50.80,N/A,N/A
오킨스전자,080580,전자부품 제조업,반도체와반도체장비,20.53,"1,473.68",15.50
지란지교시큐리티,208350,소프트웨어 개발 및 공급업,소프트웨어,86.51,75.00,1.14
NEW,160550,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송과엔터테인먼트,-19.04,N/A,N/A
아이티센,124500,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT서비스,24.96,24.27,1.94
미래엔에듀파트너,208890,교육지원 서비스업,N/A,N/A,N/A,N/A
삼성물산,028260,기타 전문 도매업,복합기업,29.11,21.95,0.89
녹십자엠에스,142280,의료용품 및 기타 의약 관련제품 제조업,건강관리장비와용품,208.42,218.33,5.15
디티앤씨,187220,기타 과학기술 서비스업,전자장비와기기,65.66,N/A,N/A
셀바스헬스케어,208370,의료용 기기 제조업,건강관리장비와용품,208.42,27.68,2.30
정다운,208140,"도축, 육류 가공 및 저장 처리업",식품,29.07,N/A,N/A
하이로닉,149980,의료용 기기 제조업,건강관리장비와용품,208.42,127.87,1.83
랩지노믹스,084650,자연과학 및 공학 연구개발업,생명과학도구및서비스,38.27,4.53,2.39
빅텐츠,210120,"영화, 비디오물, 방송프로그램 제작 및 배급업",N/A,N/A,N/A,N/A
에이디테크놀로지,200710,반도체 제조업,반도체와반도체장비,20.53,45.34,2.57
비씨월드제약,200780,의약품 제조업,제약,99.58,34.02,1.66
미스터블루,207760,기타 정보 서비스업,출판,30.57,19.89,5.12
알테오젠,196170,자연과학 및 공학 연구개발업,생물공학,-54.63,258.77,48.81
베노홀딩스,206400,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,N/A,N/A
PI첨단소재,178920,플라스틱제품 제조업,화학,69.00,38.30,4.77
대창스틸,140520,1차 철강 제조업,철강,41.60,N/A,N/A
피노텍,150440,소프트웨어 개발 및 공급업,N/A,N/A,N/A,N/A
에프엔씨엔터,173940,창작 및 예술관련 서비스업,방송과엔터테인먼트,-19.04,N/A,N/A
휴마시스,205470,의료용품 및 기타 의약 관련제품 제조업,생명과학도구및서비스,38.27,22.37,6.72
씨에스윈드,112610,"구조용 금속제품, 탱크 및 증기발생기 제조업",기계,-29.49,63.25,6.96
텔콘RF제약,200230,통신 및 방송 장비 제조업,통신장비,-92.63,N/A,N/A
지엘팜텍,204840,자연과학 및 공학 연구개발업,제약,99.58,N/A,N/A
글로벌텍스프리,204620,금융 지원 서비스업,기타금융,4.61,13.28,1.45
디에이테크놀로지,196490,특수 목적용 기계 제조업,전기제품,206.26,N/A,N/A
삼성에스디에스,018260,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT서비스,24.96,28.71,2.27
아이케이세미콘,149010,반도체 제조업,N/A,N/A,N/A,N/A
액션스퀘어,205500,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,N/A,N/A
엑셈,205100,소프트웨어 개발 및 공급업,소프트웨어,86.51,19.27,2.25
테고사이언스,191420,기초 의약물질 및 생물학적 제제 제조업,생물공학,-54.63,129.36,4.65
슈피겐코리아,192440,그외 기타 제품 제조업,핸드셋,-202.00,6.53,1.16
테라셈,182690,반도체 제조업,반도체와반도체장비,20.53,N/A,N/A
영우디에스피,143540,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,7.60,2.09
유니포인트,121060,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",N/A,N/A,N/A,N/A
드림시큐리티,203650,소프트웨어 개발 및 공급업,소프트웨어,86.51,35.71,2.77
메디아나,041920,의료용 기기 제조업,건강관리장비와용품,208.42,10.22,1.76
데브시스터즈,194480,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,N/A,N/A
만도,204320,자동차 신품 부품 제조업,자동차부품,46.67,N/A,N/A
프로스테믹스,203690,기초 의약물질 및 생물학적 제제 제조업,생물공학,-54.63,N/A,N/A
감마누,192410,통신 및 방송 장비 제조업,통신장비,-92.63,N/A,N/A
고려시멘트,198440,"시멘트, 석회, 플라스터 및 그 제품 제조업",건축자재,36.34,41.70,1.30
판도라티비,202960,소프트웨어 개발 및 공급업,N/A,N/A,N/A,N/A
서연이화,200880,자동차 신품 부품 제조업,자동차부품,46.67,N/A,N/A
신화콘텍,187270,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기제품,206.26,N/A,N/A
쿠쿠홀딩스,192400,기타 금융업,가정용기기와용품,15.82,8.08,0.98
파버나인,177830,전자부품 제조업,비철금속,21.86,N/A,N/A
덕신하우징,090410,"구조용 금속제품, 탱크 및 증기발생기 제조업",건축제품,-47.58,N/A,N/A
창해에탄올,004650,알코올음료 제조업,음료,98.61,5.87,0.76
윈하이텍,192390,"구조용 금속제품, 탱크 및 증기발생기 제조업",건축제품,-47.58,N/A,N/A
아진엑스텍,059120,반도체 제조업,반도체와반도체장비,20.53,20.76,1.49
콜마비앤에이치,200130,기초 의약물질 및 생물학적 제제 제조업,제약,99.58,19.64,4.83
화인베스틸,133820,1차 철강 제조업,철강,41.60,N/A,N/A
에이비온,203400,자연과학 및 공학 연구개발업,N/A,N/A,N/A,N/A
트루윈,105550,전자부품 제조업,자동차부품,46.67,N/A,N/A
큐엠씨,136660,특수 목적용 기계 제조업,N/A,N/A,N/A,N/A
데이터스트림즈,199150,소프트웨어 개발 및 공급업,N/A,N/A,N/A,N/A
툴젠,199800,자연과학 및 공학 연구개발업,N/A,N/A,N/A,N/A
디오스텍,196450,사진장비 및 광학기기 제조업,핸드셋,-202.00,N/A,N/A
캐스텍코리아,071850,자동차 신품 부품 제조업,자동차부품,46.67,N/A,N/A
BGF,027410,기타 금융업,백화점과일반상점,-28.81,23.65,0.40
나노,187790,기초 화학물질 제조업,화학,69.00,N/A,N/A
케이사인,192250,소프트웨어 개발 및 공급업,소프트웨어,86.51,21.31,1.91
코스맥스,192820,기타 화학제품 제조업,화장품,89.76,26.11,2.89
오이솔루션,138080,통신 및 방송 장비 제조업,통신장비,-92.63,27.83,3.54
한국정보인증,053300,소프트웨어 개발 및 공급업,IT서비스,24.96,23.01,2.35
유비온,084440,기타 정보 서비스업,N/A,N/A,N/A,N/A
솔루에타,154040,전자부품 제조업,자동차부품,46.67,65.20,0.98
이지웰,090850,소프트웨어 개발 및 공급업,상업서비스와공급품,24.90,31.93,4.33
위월드,140660,통신 및 방송 장비 제조업,N/A,N/A,N/A,N/A
씨이랩,189330,소프트웨어 개발 및 공급업,N/A,N/A,N/A,N/A
코셋,189350,통신 및 방송 장비 제조업,N/A,N/A,N/A,N/A
SGA솔루션즈,184230,소프트웨어 개발 및 공급업,소프트웨어,86.51,N/A,N/A
대동고려삼,178600,기타 식품 제조업,N/A,N/A,N/A,N/A
청광건설,140290,토목 건설업,N/A,N/A,N/A,N/A
기가레인,049080,특수 목적용 기계 제조업,반도체와반도체장비,20.53,N/A,N/A
인트로메딕,150840,의료용 기기 제조업,건강관리장비와용품,208.42,N/A,N/A
한중엔시에스,107640,자동차 신품 부품 제조업,N/A,N/A,N/A,N/A
알티캐스트,085810,소프트웨어 개발 및 공급업,소프트웨어,86.51,N/A,N/A
종근당,185750,의약품 제조업,제약,99.58,22.78,4.01
현대공업,170030,자동차 신품 부품 제조업,자동차부품,46.67,16.13,1.24
엔브이에이치코리아,067570,자동차 신품 부품 제조업,자동차부품,46.67,N/A,N/A
디엠티,134580,통신 및 방송 장비 제조업,전자제품,41.38,N/A,N/A
신송홀딩스,006880,산업용 농·축산물 및 동·식물 도매업,식품과기본식료품소매,128.99,N/A,N/A
큐브엔터,182360,오디오물 출판 및 원판 녹음업,방송과엔터테인먼트,-19.04,105.94,3.30
라이온켐텍,171120,기타 화학제품 제조업,건축자재,36.34,12.11,1.29
램테크놀러지,171010,기초 화학물질 제조업,반도체와반도체장비,20.53,66.86,2.40
THE MIDONG,161570,영상 및 음향기기 제조업,자동차부품,46.67,N/A,N/A
골프존데카,183410,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",N/A,N/A,N/A,N/A
에이씨티,138360,기타 화학제품 제조업,화장품,89.76,N/A,N/A
아세아시멘트,183190,"시멘트, 석회, 플라스터 및 그 제품 제조업",건축자재,36.34,20.37,0.46
해성옵틱스,076610,사진장비 및 광학기기 제조업,핸드셋,-202.00,N/A,N/A
내츄럴엔도텍,168330,자연과학 및 공학 연구개발업,제약,99.58,N/A,N/A
현대로템,064350,철도장비 제조업,기계,-29.49,N/A,N/A
수프로,185190,산업용 농·축산물 및 동·식물 도매업,N/A,N/A,N/A,N/A
테스나,131970,"그외 기타 전문, 과학 및 기술 서비스업",반도체와반도체장비,20.53,33.44,4.21
파수,150900,소프트웨어 개발 및 공급업,소프트웨어,86.51,N/A,N/A
엘티씨,170920,기초 화학물질 제조업,디스플레이장비및부품,86.49,55.41,1.16
지엔씨에너지,119850,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기장비,-220.85,23.10,1.20
한진칼,180640,항공 여객 운송업,항공사,-4.87,N/A,N/A
아미코젠,092040,기타 식품 제조업,생물공학,-54.63,17.97,4.10
엔에이치엔,181710,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,47.57,0.81
GH신소재,130500,기타 섬유제품 제조업,자동차부품,46.67,204.41,1.69
파이오링크,170790,통신 및 방송 장비 제조업,통신장비,-92.63,9.53,1.95
KG ETS,151860,폐기물 처리업,복합유틸리티,5.28,2.00,0.81
JB금융지주,175330,기타 금융업,은행,4.87,3.30,0.30
나스미디어,089600,광고업,광고,18.53,18.29,2.42
하이골드12호,172580,운송장비 임대업,N/A,N/A,N/A,N/A
대주이엔티,114920,1차 철강 제조업,N/A,N/A,N/A,N/A
에스에이티이엔지,158300,특수 목적용 기계 제조업,N/A,N/A,N/A,N/A
에스엔피제네틱스,086460,자연과학 및 공학 연구개발업,N/A,N/A,N/A,N/A
옐로페이,179720,소프트웨어 개발 및 공급업,N/A,N/A,N/A,N/A
태양기계,116100,자동차 신품 부품 제조업,N/A,N/A,N/A,N/A
엑세스바이오,950130,의료용품 및 기타 의약 관련제품 제조업,생명과학도구및서비스,38.27,N/A,N/A
DSR,155660,1차 비철금속 제조업,비철금속,21.86,10.05,0.55
레고켐바이오,141080,자연과학 및 공학 연구개발업,생명과학도구및서비스,38.27,N/A,N/A
한국패러랠,168490,신탁업 및 집합투자업,N/A,N/A,N/A,N/A
동아에스티,170900,의약품 제조업,제약,99.58,11.44,1.10
스타모빌리티,158310,특수 목적용 기계 제조업,기계,-29.49,N/A,N/A
윈팩,097800,반도체 제조업,반도체와반도체장비,20.53,9.80,1.88
코렌텍,104540,의료용 기기 제조업,건강관리장비와용품,208.42,67.32,6.04
제로투세븐,159580,생활용품 도매업,"섬유,의류,신발,호화품",33.35,74.92,2.39
아이원스,114810,특수 목적용 기계 제조업,반도체와반도체장비,20.53,40.65,1.26
우리이앤엘,153490,반도체 제조업,디스플레이장비및부품,86.49,33.69,1.07
아이센스,099190,의료용 기기 제조업,건강관리장비와용품,208.42,19.97,1.61
포티스,141020,무점포 소매업,인터넷과카탈로그소매,20.09,N/A,N/A
스킨앤스킨,159910,기타 화학제품 제조업,화장품,89.76,N/A,N/A
SBI핀테크솔루션즈,950110,소프트웨어 개발 및 공급업,IT서비스,24.96,20.31,3.92
우리로,046970,기타 전문 도매업,컴퓨터와주변기기,-34.95,N/A,N/A
디젠스,113810,자동차 신품 부품 제조업,자동차부품,46.67,46.60,1.13
지엠비코리아,013870,자동차 신품 부품 제조업,자동차부품,46.67,N/A,N/A
맥스로텍,141070,특수 목적용 기계 제조업,기계,-29.49,N/A,N/A
와이엠씨,155650,전자부품 제조업,디스플레이장비및부품,86.49,30.15,2.28
LG헬로비전,037560,텔레비전 방송업,방송과엔터테인먼트,-19.04,N/A,N/A
아바텍,149950,전자부품 제조업,디스플레이장비및부품,86.49,55.64,1.80
동일고무벨트,163560,고무제품 제조업,자동차부품,46.67,18.96,0.66
한국콜마,161890,기타 화학제품 제조업,화장품,89.76,37.70,2.40
한국타이어앤테크놀로지,161390,고무제품 제조업,자동차부품,46.67,23.36,0.81
코이즈,121850,플라스틱제품 제조업,디스플레이장비및부품,86.49,N/A,N/A
애경유화,161000,기초 화학물질 제조업,화학,69.00,11.27,0.84
나노스,151910,전자부품 제조업,핸드셋,-202.00,N/A,N/A
SK렌터카,068400,운송장비 임대업,도로와철도운송,54.64,17.36,1.10
엠씨넥스,097520,영상 및 음향기기 제조업,핸드셋,-202.00,19.87,4.09
네이블커뮤니케이션즈,153460,소프트웨어 개발 및 공급업,소프트웨어,86.51,N/A,N/A
디지탈옵틱,106520,사진장비 및 광학기기 제조업,핸드셋,-202.00,N/A,N/A
피엔티,137400,특수 목적용 기계 제조업,전기제품,206.26,53.47,4.59
바다로19호,155900,운송장비 임대업,N/A,N/A,N/A,N/A
사조씨푸드,014710,수산물 가공 및 저장 처리업,식품,29.07,N/A,N/A
비아트론,141000,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,12.24,0.97
하이골드3호,153360,운송장비 임대업,N/A,N/A,N/A,N/A
코오롱머티리얼,144620,화학섬유 제조업,"섬유,의류,신발,호화품",33.35,N/A,N/A
빛샘전자,072950,전자부품 제조업,통신장비,-92.63,30.21,0.74
한국ANKOR유전,152550,신탁업 및 집합투자업,N/A,N/A,N/A,N/A
휴비스,079980,화학섬유 제조업,"섬유,의류,신발,호화품",33.35,11.25,0.68
사람인에이치알,143240,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",상업서비스와공급품,24.90,16.01,2.64
뉴로스,126870,일반 목적용 기계 제조업,기계,-29.49,N/A,N/A
제룡산업,147830,"구조용 금속제품, 탱크 및 증기발생기 제조업",전기장비,-220.85,10.51,1.01
남화토건,091590,건물 건설업,건설,7.01,26.24,1.04
케이탑리츠,145270,부동산 임대 및 공급업,N/A,N/A,N/A,N/A
메지온,140410,자연과학 및 공학 연구개발업,식품,29.07,N/A,N/A
원익머트리얼즈,104830,기초 화학물질 제조업,화학,69.00,14.52,1.30
디엔에이링크,127120,자연과학 및 공학 연구개발업,생명과학도구및서비스,38.27,N/A,N/A
GS리테일,007070,종합 소매업,백화점과일반상점,-28.81,16.29,1.21
나이스디앤비,130580,기타 사업지원 서비스업,상업서비스와공급품,24.90,12.59,2.32
시큐브,131090,소프트웨어 개발 및 공급업,소프트웨어,86.51,12.11,1.94
서암기계공업,100660,일반 목적용 기계 제조업,기계,-29.49,196.13,1.24
인터지스,129260,도로 화물 운송업,항공화물운송과물류,12.60,N/A,N/A
씨유메디칼,115480,의료용 기기 제조업,전문소매,-15.23,N/A,N/A
삼양사,145990,기타 식품 제조업,식품,29.07,10.97,0.55
키네마스터,139670,소프트웨어 개발 및 공급업,소프트웨어,86.51,128.63,25.15
비덴트,121800,통신 및 방송 장비 제조업,디스플레이패널,-3.72,22.08,1.15
신진에스엠,138070,기타 금속 가공제품 제조업,기계,-29.49,N/A,N/A
이엠넷,123570,광고업,광고,18.53,15.93,1.57
와이지엔터테인먼트,122870,오디오물 출판 및 원판 녹음업,방송과엔터테인먼트,-19.04,N/A,N/A
쎄미시스코,136510,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,N/A,N/A
에이티세미콘,089530,반도체 제조업,반도체와반도체장비,20.53,N/A,N/A
테크윙,089030,특수 목적용 기계 제조업,반도체와반도체장비,20.53,11.82,2.16
씨큐브,101240,기초 화학물질 제조업,화장품,89.76,23.59,1.31
에스엠코어,007820,일반 목적용 기계 제조업,기계,-29.49,N/A,N/A
씨엔플러스,115530,전자부품 제조업,전자장비와기기,65.66,N/A,N/A
하나투어,039130,여행사 및 기타 여행보조 서비스업,"호텔,레스토랑,레저",-25.26,N/A,N/A
케이맥,043290,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,N/A,N/A
로보스타,090360,특수 목적용 기계 제조업,기계,-29.49,N/A,N/A
대한과학,131220,기계장비 및 관련 물품 도매업,생명과학도구및서비스,38.27,84.11,4.20
피앤이솔루션,131390,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기제품,206.26,17.09,3.45
아이디스,143160,통신 및 방송 장비 제조업,전자장비와기기,65.66,21.95,1.94
에이블씨엔씨,078520,기타 화학제품 제조업,화장품,89.76,N/A,N/A
제이씨케미칼,137950,기타 화학제품 제조업,에너지장비및서비스,-35.73,25.98,1.40
