회사명,종목코드,업종,업종2,업종PER,PER,PBR
삼영엠텍,054540,"구조용 금속제품, 탱크 및 증기발생기 제조업",기계,-29.49,8.08,0.76
이니텍,053350,소프트웨어 개발 및 공급업,소프트웨어,86.51,N/A,N/A
에이디칩스,054630,그외 기타 제품 제조업,전자제품,41.38,N/A,N/A
유진로봇,056080,특수 목적용 기계 제조업,가정용기기와용품,15.82,N/A,N/A
태웅,044490,기타 금속 가공제품 제조업,기계,-29.49,N/A,N/A
경남제약,053950,의약품 제조업,제약,99.58,N/A,N/A
삼보모터스,053700,자동차 신품 부품 제조업,자동차부품,46.67,N/A,N/A
한컴위드,054920,소프트웨어 개발 및 공급업,소프트웨어,86.51,6.28,1.82
코미팜,041960,의약품 제조업,제약,99.58,N/A,N/A
프리엠스,053160,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",기계,-29.49,N/A,N/A
코나아이,052400,소프트웨어 개발 및 공급업,전자장비와기기,65.66,403.45,5.45
메디콕스,054180,선박 및 보트 건조업,조선,-22.00,N/A,N/A
SGA,049470,소프트웨어 개발 및 공급업,소프트웨어,86.51,N/A,N/A
지에스이,053050,연료용 가스 제조 및 배관공급업,가스유틸리티,19.09,13.73,0.64
큐브앤컴퍼니,043090,기타 전문 도매업,제약,99.58,N/A,N/A
소리바다,053110,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",방송과엔터테인먼트,-19.04,N/A,N/A
아이디스홀딩스,054800,기타 전문 서비스업,전자장비와기기,65.66,N/A,N/A
코데즈컴바인,047770,봉제의복 제조업,"섬유,의류,신발,호화품",33.35,23.28,2.30
안랩,053800,소프트웨어 개발 및 공급업,소프트웨어,86.51,42.24,3.45
신한지주,055550,기타 금융업,은행,4.87,4.73,0.40
YTN,040300,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송과엔터테인먼트,-19.04,33.12,1.02
CMG제약,058820,의약품 제조업,제약,99.58,227.05,3.78
JYP Ent.,035900,오디오물 출판 및 원판 녹음업,방송과엔터테인먼트,-19.04,39.91,6.30
한국테크놀로지,053590,자동차 신품 부품 제조업,기계,-29.49,N/A,N/A
KCC건설,021320,건물 건설업,건설,7.01,6.08,0.46
세동,053060,자동차 신품 부품 제조업,자동차부품,46.67,N/A,N/A
프로텍,053610,특수 목적용 기계 제조업,반도체와반도체장비,20.53,40.49,1.55
액토즈소프트,052790,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,5.62,0.64
세코닉스,053450,사진장비 및 광학기기 제조업,전자장비와기기,65.66,N/A,N/A
바이넥스,053030,의약품 제조업,제약,99.58,74.77,5.77
오성첨단소재,052420,플라스틱제품 제조업,디스플레이장비및부품,86.49,13.83,1.62
코웨이,021240,그외 기타 개인 서비스업,가정용기기와용품,15.82,14.80,3.63
태양,053620,기타 금속 가공제품 제조업,가정용품,14.53,10.65,0.54
W홀딩컴퍼니,052300,기타 운송관련 서비스업,건축제품,-47.58,6.80,0.75
유아이엘,049520,전자부품 제조업,핸드셋,-202.00,N/A,N/A
대원미디어,048910,기타 전문 도매업,방송과엔터테인먼트,-19.04,60.09,1.99
센트럴바이오,051980,플라스틱제품 제조업,건축자재,36.34,N/A,N/A
세아홀딩스,058650,1차 철강 제조업,철강,41.60,38.11,0.14
CJ프레시웨이,051500,음·식료품 및 담배 도매업,식품과기본식료품소매,128.99,N/A,N/A
파인디앤씨,049120,전자부품 제조업,디스플레이장비및부품,86.49,N/A,N/A
디지아이,043360,컴퓨터 및 주변장치 제조업,컴퓨터와주변기기,-34.95,N/A,N/A
코텍,052330,영상 및 음향기기 제조업,디스플레이패널,-3.72,52.95,0.45
한네트,052600,전기 통신업,IT서비스,24.96,67.27,2.45
에스티큐브,052020,기계장비 및 관련 물품 도매업,전자장비와기기,65.66,N/A,N/A
에이치엘비파워,043220,특수 목적용 기계 제조업,기계,-29.49,108.18,2.56
스카이문스테크놀로지,033790,통신 및 방송 장비 제조업,통신장비,-92.63,N/A,N/A
큐로홀딩스,051780,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송과엔터테인먼트,-19.04,N/A,N/A
이에스에이,052190,창작 및 예술관련 서비스업,방송과엔터테인먼트,-19.04,N/A,N/A
나라엠앤디,051490,특수 목적용 기계 제조업,기계,-29.49,81.51,2.02
에코바이오,038870,사업시설 유지·관리 서비스업,독립전력생산및에너지거래,17.80,17.81,1.70
에이텍,045660,컴퓨터 및 주변장치 제조업,컴퓨터와주변기기,-34.95,33.61,3.21
대아티아이,045390,기타 전기장비 제조업,IT서비스,24.96,554.00,3.97
캠시스,050110,전자부품 제조업,핸드셋,-202.00,N/A,N/A
현대바이오랜드,052260,기타 화학제품 제조업,화장품,89.76,65.76,2.36
SFA반도체,036540,반도체 제조업,반도체와반도체장비,20.53,74.11,3.40
LG생활건강,051900,기타 화학제품 제조업,화장품,89.76,37.46,6.00
LG화학,051910,기초 화학물질 제조업,화학,69.00,89.69,4.05
대우건설,047040,건물 건설업,건설,7.01,13.35,0.96
포스코인터내셔널,047050,상품 중개업,무역회사와판매업체,12.09,12.19,0.85
대우조선해양,042660,선박 및 보트 건조업,조선,-22.00,16.37,0.71
두산인프라코어,042670,특수 목적용 기계 제조업,기계,-29.49,10.95,0.73
삼표시멘트,038500,기타 비금속 광물제품 제조업,건축자재,36.34,32.45,0.78
진양화학,051630,플라스틱제품 제조업,화학,69.00,203.06,1.58
SM C&C,048550,광고업,광고,18.53,N/A,N/A
승일,049830,기타 금속 가공제품 제조업,포장재,16.84,61.81,0.37
조광ILI,044060,일반 목적용 기계 제조업,기계,-29.49,23.99,1.64
피에스엠씨,024850,전자부품 제조업,반도체와반도체장비,20.53,N/A,N/A
TPC,048770,일반 목적용 기계 제조업,기계,-29.49,193.91,2.13
코메론,049430,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",기계,-29.49,7.11,0.51
경남바이오파마,044480,고무제품 제조업,가정용품,14.53,N/A,N/A
삼화네트웍스,046390,"영화, 비디오물, 방송프로그램 제작 및 배급업",방송과엔터테인먼트,-19.04,100.73,5.76
성광벤드,014620,1차 철강 제조업,기계,-29.49,101.49,0.48
유라테크,048430,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",자동차부품,46.67,32.38,1.12
삼현철강,017480,1차 철강 제조업,철강,41.60,10.52,0.43
오픈베이스,049480,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT서비스,24.96,93.64,1.54
KCI,036670,기타 화학제품 제조업,화학,69.00,8.69,1.39
라온시큐어,042510,소프트웨어 개발 및 공급업,소프트웨어,86.51,N/A,N/A
오로라,039830,전문디자인업,레저용장비와제품,-33.68,225.12,0.86
금화피에스시,036190,전기 및 통신 공사업,건설,7.01,5.45,0.67
코다코,046070,자동차 신품 부품 제조업,자동차부품,46.67,N/A,N/A
인바디,041830,의료용 기기 제조업,건강관리장비와용품,208.42,17.80,1.70
고려제약,014570,의약품 제조업,제약,99.58,12.98,1.71
크린앤사이언스,045520,일반 목적용 기계 제조업,자동차부품,46.67,11.87,3.24
포스코 ICT,022100,"건축기술, 엔지니어링 및 관련 기술 서비스업",IT서비스,24.96,32.77,3.10
동원F&B,049770,기타 식품 제조업,식품,29.07,9.87,0.96
