회사명,종목코드,업종,업종1,업종2,PER,업종PER,PBR
IBKS제12호스팩,335870,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,1.14
노드메이슨,317860,기타 화학제품 제조업,KONEX,FICS  개인생활용품,-,-,4.87
리메드,302550,의료용 기기 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,32.02,265.86,6.30
NH프라임리츠,338100,부동산 임대 및 공급업,KSE  코스피 서비스업,FICS  부동산,-,35.79,-
SK5호스팩,337450,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,1.08
비올,335890,의료용 기기 제조업,KOSDAQ  코스닥 금융,FICS  의료 장비 및 서비스,37.29,22.62,13.30
이도바이오,336040,자연과학 및 공학 연구개발업,KONEX,FICS  의료 장비 및 서비스,-,-,13.86
진코스텍,250030,기타 화학제품 제조업,KONEX,FICS  개인생활용품,25.62,-,4.26
코리아센터,290510,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  온라인쇼핑,87.30,63.90,2.99
유안타제5호스팩,336060,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,1.07
유엑스엔,337840,의료용 기기 제조업,KONEX,FICS  의료 장비 및 서비스,-,-,248.79
노터스,278650,자연과학 및 공학 연구개발업,KOSDAQ  코스닥 기타서비스,FICS  제약,44.05,-,4.71
센트랄모텍,308170,자동차 신품 부품 제조업,KSE  코스피 운수장비,FICS  자동차부품,36.72,26.97,2.47
티움바이오,321550,자연과학 및 공학 연구개발업,KOSDAQ  코스닥 기타서비스,FICS  제약,-,-,4.54
씨에스베어링,297090,일반 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  기계,45.61,265.86,7.13
우양,103840,"과실, 채소 가공 및 저장 처리업",KOSDAQ  코스닥 제조,FICS  식료품,19.88,265.86,2.40
코리아에셋투자증권,190650,기타 금융업,KOSDAQ  코스닥 금융,FICS  증권,6.65,22.62,0.74
현대에너지솔루션,322000,반도체 제조업,"KSE  코스피 전기,전자",FICS  에너지 시설 및 서비스,12.78,33.32,1.26
에스제이그룹,306040,"가죽, 가방 및 유사제품 제조업",KOSDAQ  코스닥 제조,FICS  섬유 및 의복,10.22,265.86,2.59
제테마,216080,의료용품 및 기타 의약 관련제품 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,-,265.86,10.15
한화시스템,272210,전자부품 제조업,"KSE  코스피 전기,전자",FICS  상업서비스,25.43,33.32,2.04
라파스,214260,기타 화학제품 제조업,KOSDAQ  코스닥 제조,FICS  개인생활용품,"1,468.77",265.86,4.55
아이티엠반도체,084850,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  전자 장비 및 기기,23.48,79.95,4.46
미래에셋대우스팩4호,333430,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,1.57
자이에스앤디,317400,부동산 임대 및 공급업,KSE  코스피 서비스업,FICS  건설,16.28,62.18,2.03
미디어젠,279600,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  IT 서비스,-,63.90,3.33
하나금융14호스팩,332710,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,1.12
신한제6호스팩,333050,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,1.14
티라유텍,322180,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  일반 소프트웨어,27.53,63.90,3.22
롯데리츠,330590,부동산 임대 및 공급업,KSE  코스피 서비스업,FICS  부동산,-,35.79,-
지누스,013890,가구 제조업,KSE  코스피 제조업,FICS  내구소비재,16.65,36.72,3.55
교보9호스팩,331520,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  창업투자 및 종금,-,22.62,1.13
캐리소프트,317530,"영화, 비디오물, 방송프로그램 제작 및 배급업","KOSDAQ  코스닥 오락, 문화",FICS  미디어,-,-,1.59
한국미라클피플사,331660,기타 화학제품 제조업,KONEX,FICS  가정생활용품,-,-,5.01
케이엔제이,272110,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  디스플레이 및 관련부품,14.05,265.86,2.81
엔바이오니아,317870,그외 기타 제품 제조업,KOSDAQ  코스닥 제조,FICS  내구소비재,70.16,265.86,3.75
팜스빌,318010,기타 식품 제조업,KOSDAQ  코스닥 제조,FICS  제약,10.07,265.86,1.57
두산퓨얼셀,336260,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","KSE  코스피 전기,전자",FICS  전자 장비 및 기기,317.76,33.32,27.08
라온피플,300120,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT H/W,FICS  휴대폰 및 관련부품,24.33,79.95,3.94
솔루스첨단소재,336370,전자부품 제조업,"KSE  코스피 전기,전자",FICS  전자 장비 및 기기,105.95,33.32,18.97
