회사명,종목코드,업종,업종1,업종2,PER,업종PER,PBR
GKL,114090,유원지 및 기타 오락관련 서비스업,KSE  코스피 서비스업,FICS  호텔 및 레저,13.33,62.18,1.65
휴맥스,115160,영상 및 음향기기 제조업,KOSDAQ  코스닥 IT H/W,FICS  셋톱 박스,6.47,79.95,0.31
에이프로젠 H&G,109960,기타 전문 도매업,KOSDAQ  코스닥 유통,FICS  제약,-,428.28,0.58
SK,034730,기타 금융업,KSE  코스피 금융업,FICS  석유 및 가스,30.21,8.49,1.17
동방선기,099410,선박 및 보트 건조업,KOSDAQ  코스닥 제조,FICS  조선,-,265.86,0.86
상상인인더스트리,101000,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  조선,-,265.86,2.01
진매트릭스,109820,자연과학 및 공학 연구개발업,KOSDAQ  코스닥 기타서비스,FICS  의료 장비 및 서비스,-,-,16.76
황금에스티,032560,1차 비철금속 제조업,KSE  코스피 철강및금속,FICS  금속 및 광물,4.88,16.61,0.46
비츠로셀,082920,일차전지 및 축전지 제조업,KOSDAQ  코스닥 IT H/W,FICS  전자 장비 및 기기,16.84,79.95,2.39
하이트진로,000080,알코올음료 제조업,KSE  코스피 음식료품,FICS  음료,-,30.82,2.19
한스바이오메드,042520,의료용품 및 기타 의약 관련제품 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,-,265.86,1.92
동양생명,082640,보험업,KSE  코스피 보험,FICS  보험,4.32,10.73,0.25
NHN벅스,104200,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  미디어,21.92,63.90,1.19
아이앤씨,052860,반도체 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,13.84,79.95,1.33
유니온머티리얼,047400,"내화, 비내화 요업제품 제조업",KSE  코스피 비금속광물,FICS  자동차부품,66.80,41.94,1.81
케이엔더블유,105330,전자부품 제조업,KOSDAQ  코스닥 제조,FICS  자동차부품,-,265.86,1.81
형지엘리트,093240,봉제의복 제조업,"KSE  코스피 섬유,의복",FICS  섬유 및 의복,-,48.70,2.03
디에스케이,109740,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  디스플레이 및 관련부품,22.89,265.86,1.24
제넥신,095700,자연과학 및 공학 연구개발업,KOSDAQ  코스닥 기타서비스,FICS  바이오,-,-,7.52
톱텍,108230,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  디스플레이 및 관련부품,131.22,265.86,1.31
동국S&C,100130,"구조용 금속제품, 탱크 및 증기발생기 제조업",KOSDAQ  코스닥 제조,FICS  에너지 시설 및 서비스,42.48,265.86,1.48
에스앤더블류,103230,일반 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  조선,-,265.86,0.46
키움증권,039490,금융 지원 서비스업,KSE  코스피 증권,FICS  증권,11.02,8.06,1.76
게임빌,063080,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  게임 소프트웨어,17.62,63.90,0.94
영원무역,111770,상품 종합 도매업,KSE  코스피 유통업,FICS  섬유 및 의복,10.05,31.64,0.90
동일금속,109860,금속 주조업,KOSDAQ  코스닥 제조,FICS  기계,5.44,265.86,0.65
아주캐피탈,033660,기타 금융업,KSE  코스피 금융업,FICS  소비자 금융,6.17,8.49,0.76
한미글로벌,053690,"건축기술, 엔지니어링 및 관련 기술 서비스업",KSE  코스피 서비스업,FICS  건설,4.95,62.18,0.85
동아지질,028100,기반조성 및 시설물 축조관련 전문공사업,KSE  코스피 건설업,FICS  건설,10.17,7.51,0.98
어보브반도체,102120,반도체 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,19.98,79.95,2.78
조이맥스,101730,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  게임 소프트웨어,-,63.90,1.92
이엔에프테크놀로지,102710,기타 화학제품 제조업,KOSDAQ  코스닥 제조,FICS  반도체 및 관련장비,14.09,265.86,2.44
스맥,099440,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  기계,-,265.86,0.44
해덕파워웨이,102210,선박 및 보트 건조업,KOSDAQ  코스닥 제조,FICS  조선,-,265.86,0.70
SDN,099220,기계장비 및 관련 물품 도매업,KOSDAQ  코스닥 유통,FICS  조선,39.07,428.28,2.05
한국정밀기계,101680,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  기계,-,265.86,0.21
STX중공업,071970,일반 목적용 기계 제조업,KSE  코스피 기계,FICS  조선,-,75.92,0.74
흥국,010240,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  기계,13.37,265.86,1.39
우림기계,101170,일반 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  기계,-,265.86,0.73
티플랙스,081150,기타 금속 가공제품 제조업,KOSDAQ  코스닥 제조,FICS  금속 및 광물,36.19,265.86,0.82
LG하우시스,108670,플라스틱제품 제조업,KSE  코스피 화학,FICS  건축자재,68.57,65.84,0.87
에스티오,098660,봉제의복 제조업,KOSDAQ  코스닥 제조,FICS  섬유 및 의복,8.88,265.86,0.79
에이테크솔루션,071670,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  기계,123.67,265.86,2.52
에스앤에스텍,101490,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,73.19,79.95,8.13
뷰웍스,100120,의료용 기기 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,14.19,265.86,2.05
코오롱생명과학,102940,기초 의약물질 및 생물학적 제제 제조업,KOSDAQ  코스닥 제조,FICS  제약,-,265.86,2.15
엔시트론,101400,반도체 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,-,79.95,1.42
한세실업,105630,봉제의복 제조업,"KSE  코스피 섬유,의복",FICS  섬유 및 의복,-,48.70,1.75
컨버즈,109070,"골판지, 종이 상자 및 종이용기 제조업","KSE  코스피 종이,목재",FICS  종이 및 목재,-,24.35,-
파인테크닉스,106240,통신 및 방송 장비 제조업,KOSDAQ  코스닥 IT H/W,FICS  디스플레이 및 관련부품,679.83,79.95,3.62
미원홀딩스,107590,기타 금융업,KSE  코스피 금융업,FICS  화학,10.97,8.49,1.15
이수앱지스,086890,의료용품 및 기타 의약 관련제품 제조업,KOSDAQ  코스닥 제조,FICS  바이오,-,265.86,4.06
대성파인텍,104040,자동차 신품 부품 제조업,KOSDAQ  코스닥 제조,FICS  자동차부품,61.38,265.86,1.38
유비쿼스홀딩스,078070,통신 및 방송 장비 제조업,KOSDAQ  코스닥 제조,FICS  통신장비,63.70,265.86,2.08
메디톡스,086900,기초 의약물질 및 생물학적 제제 제조업,KOSDAQ  코스닥 제조,FICS  바이오,32.89,265.86,2.61
엠게임,058630,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  게임 소프트웨어,14.98,63.90,2.97
아이컴포넌트,059100,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  디스플레이 및 관련부품,-,79.95,1.38
NAVER,035420,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",KSE  코스피 서비스업,FICS  인터넷 서비스,101.34,62.18,8.21
에이치엘비생명과학,067630,"건축기술, 엔지니어링 및 관련 기술 서비스업",KOSDAQ  코스닥 기타서비스,FICS  도소매,-,-,3.27
이크레더블,092130,기타 정보 서비스업,KOSDAQ  코스닥 기타서비스,FICS  인터넷 서비스,19.94,-,5.07
부국철강,026940,1차 철강 제조업,KSE  코스피 철강및금속,FICS  금속 및 광물,43.46,16.61,0.71
KB금융,105560,기타 금융업,KSE  코스피 금융업,FICS  상업은행,5.65,8.49,0.47
세운메디칼,100700,의료용품 및 기타 의약 관련제품 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,29.58,265.86,2.91
한국철강,104700,1차 철강 제조업,KSE  코스피 철강및금속,FICS  금속 및 광물,19.40,16.61,0.51
마이크로컨텍솔,098120,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,57.36,79.95,1.54
이엠앤아이,083470,플라스틱제품 제조업,KOSDAQ  코스닥 IT H/W,FICS  휴대폰 및 관련부품,0.15,79.95,6.07
삼강엠앤티,100090,1차 철강 제조업,KOSDAQ  코스닥 제조,FICS  조선,-,265.86,4.10
일진전기,103590,절연선 및 케이블 제조업,"KSE  코스피 전기,전자",FICS  전기장비,36.88,33.32,0.44
풍산,103140,1차 비철금속 제조업,KSE  코스피 철강및금속,FICS  금속 및 광물,47.64,16.61,0.61
LG이노텍,011070,전자부품 제조업,"KSE  코스피 전기,전자",FICS  전자 장비 및 기기,47.19,33.32,2.19
아이엠,101390,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  전자 장비 및 기기,-,79.95,1.37
웰크론한텍,076080,건물 건설업,KOSDAQ  코스닥 건설,FICS  건설,-,15.46,1.15
코리아에스이,101670,"구조용 금속제품, 탱크 및 증기발생기 제조업",KOSDAQ  코스닥 제조,FICS  건설,-,265.86,0.75
슈프리마에이치큐,094840,통신 및 방송 장비 제조업,KOSDAQ  코스닥 IT S/W & SVC,FICS  보안장비,11.61,63.90,0.60
명문제약,017180,의약품 제조업,KSE  코스피 의약품,FICS  제약,-,140.79,2.13
서울옥션,063170,상품 중개업,KOSDAQ  코스닥 유통,FICS  도소매,-,428.28,1.64
이스트소프트,047560,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  일반 소프트웨어,-,63.90,1.99
비상교육,100220,"서적, 잡지 및 기타 인쇄물 출판업",KSE  코스피 서비스업,FICS  교육,7.44,62.18,0.37
청담러닝,096240,일반 교습 학원,KOSDAQ  코스닥 기타서비스,FICS  교육,18.51,-,1.87
동성코퍼레이션,102260,회사 본부 및 경영 컨설팅 서비스업,KSE  코스피 서비스업,FICS  화학,39.28,62.18,0.75
월덱스,101160,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,15.22,79.95,3.30
쎄트렉아이,099320,"항공기,우주선 및 부품 제조업",KOSDAQ  코스닥 IT H/W,FICS  상업서비스,66.98,79.95,7.30
쌍방울,102280,봉제의복 제조업,"KSE  코스피 섬유,의복",FICS  섬유 및 의복,-,48.70,0.55
브리지텍,064480,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  IT 서비스,-,63.90,1.40
고영,098460,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  전자 장비 및 기기,49.57,265.86,5.69
조이시티,067000,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  게임 소프트웨어,-,63.90,6.35
우진비앤지,018620,의약품 제조업,KOSDAQ  코스닥 제조,FICS  제약,-,265.86,2.72
테스,095610,특수 목적용 기계 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,60.01,79.95,2.52
예스24,053280,무점포 소매업,KOSDAQ  코스닥 IT S/W & SVC,FICS  온라인쇼핑,"42,419.35",63.90,3.54
엘디티,096870,반도체 제조업,KOSDAQ  코스닥 IT H/W,FICS  디스플레이 및 관련부품,-,79.95,2.40
LG유플러스,032640,전기 통신업,KSE  코스피 통신업,FICS  무선통신,12.39,16.62,0.77
메타바이오메드,059210,의료용품 및 기타 의약 관련제품 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,19.04,265.86,1.15
효성오앤비,097870,"비료, 농약 및 살균, 살충제 제조업",KOSDAQ  코스닥 제조,FICS  화학,43.98,265.86,1.01
이엠네트웍스,087730,합성고무 및 플라스틱 물질 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,-,79.95,9.53
인바이오젠,101140,생활용품 도매업,KSE  코스피 유통업,FICS  도소매,9.58,31.64,2.21
아시아나항공,020560,항공 여객 운송업,KSE  코스피 운수창고,FICS  항공운수,-,-,1.42
SBS미디어홀딩스,101060,텔레비전 방송업,KSE  코스피 서비스업,FICS  미디어,-,62.18,0.46
S&TC,100840,일반 목적용 기계 제조업,KSE  코스피 기계,FICS  에너지 시설 및 서비스,7.68,75.92,0.48
진양홀딩스,100250,플라스틱제품 제조업,KSE  코스피 화학,FICS  자동차부품,10.02,65.84,0.49
텔레필드,091440,통신 및 방송 장비 제조업,KOSDAQ  코스닥 IT H/W,FICS  통신장비,7.72,79.95,1.32
이트론,096040,기타 전문 도매업,KOSDAQ  코스닥 IT H/W,FICS  IT 서비스,-,79.95,3.02
엔케이,085310,"구조용 금속제품, 탱크 및 증기발생기 제조업",KSE  코스피 기계,FICS  조선,-,75.92,1.08
에스맥,097780,통신 및 방송 장비 제조업,KOSDAQ  코스닥 IT H/W,FICS  휴대폰 및 관련부품,-,79.95,1.58
에스코넥,096630,통신 및 방송 장비 제조업,KOSDAQ  코스닥 IT H/W,FICS  휴대폰 및 관련부품,-,79.95,1.38
일신바이오,068330,일반 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  바이오,69.66,265.86,7.57
서원인텍,093920,통신 및 방송 장비 제조업,KOSDAQ  코스닥 IT H/W,FICS  휴대폰 및 관련부품,12.81,79.95,1.00
이씨에스,067010,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",KOSDAQ  코스닥 IT H/W,FICS  IT 서비스,20.48,79.95,1.55
대창솔루션,096350,"구조용 금속제품, 탱크 및 증기발생기 제조업",KOSDAQ  코스닥 제조,FICS  조선,-,265.86,1.11
한전KPS,051600,전기 및 통신 공사업,KSE  코스피 건설업,FICS  전력,8.20,7.51,1.18
아이에스이커머스,069920,무점포 소매업,KOSDAQ  코스닥 유통,FICS  온라인쇼핑,-,428.28,1.87
알에프세미,096610,반도체 제조업,KOSDAQ  코스닥 IT H/W,FICS  휴대폰 및 관련부품,-,79.95,0.95
디엔에프,092070,기타 화학제품 제조업,KOSDAQ  코스닥 제조,FICS  반도체 및 관련장비,130.96,265.86,3.00
일진파워,094820,전기 및 통신 공사업,KOSDAQ  코스닥 건설,FICS  에너지 시설 및 서비스,6.92,15.46,0.83
비엠티,086670,일반 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  기계,19.23,265.86,1.47
이아이디,093230,기타 전문 도매업,KSE  코스피 유통업,FICS  석유 및 가스,445.54,31.64,1.79
기신정기,092440,특수 목적용 기계 제조업,KSE  코스피 기계,FICS  기계,13.12,75.92,0.48
이엠코리아,095190,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  기계,-,265.86,2.89
KSS해운,044450,해상 운송업,KSE  코스피 운수창고,FICS  해상운수,10.74,-,0.88
효성 ITX,094280,기타 사업지원 서비스업,KSE  코스피 서비스업,FICS  상업서비스,25.25,62.18,4.85
현우산업,092300,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  전자 장비 및 기기,31.30,79.95,0.91
유나이티드,033270,의약품 제조업,KSE  코스피 의약품,FICS  제약,27.33,140.79,3.05
다믈멀티미디어,093640,반도체 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,58.36,79.95,1.59
디아이씨,092200,자동차 신품 부품 제조업,KSE  코스피 운수장비,FICS  자동차부품,-,26.97,0.95
에스에너지,095910,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",KOSDAQ  코스닥 IT H/W,FICS  에너지 시설 및 서비스,-,79.95,0.88
성우전자,081580,통신 및 방송 장비 제조업,KOSDAQ  코스닥 IT H/W,FICS  휴대폰 및 관련부품,-,79.95,0.49
엘엠에스,073110,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  디스플레이 및 관련부품,9.61,79.95,0.75
제이엠티,094970,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  디스플레이 및 관련부품,50.42,79.95,0.87
오디텍,080520,반도체 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,32.68,79.95,0.57
ISC,095340,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,74.46,79.95,1.86
네오티스,085910,자동차 신품 부품 제조업,KOSDAQ  코스닥 제조,FICS  자동차부품,32.60,265.86,0.93
미래나노텍,095500,플라스틱제품 제조업,KOSDAQ  코스닥 IT H/W,FICS  디스플레이 및 관련부품,105.55,79.95,0.47
상보,027580,플라스틱제품 제조업,KOSDAQ  코스닥 제조,FICS  디스플레이 및 관련부품,-,265.86,2.27
CJ제일제당,097950,기타 식품 제조업,KSE  코스피 음식료품,FICS  육상운수,46.28,30.82,1.42
바이오톡스텍,086040,자연과학 및 공학 연구개발업,KOSDAQ  코스닥 기타서비스,FICS  바이오,-,-,5.43
팬오션,028670,해상 운송업,KSE  코스피 운수창고,FICS  해상운수,16.65,-,0.88
아이엠이연이,090740,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  디스플레이 및 관련부품,14.73,79.95,1.22
옴니시스템,057540,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",KOSDAQ  코스닥 제조,FICS  전기장비,4.94,265.86,0.98
푸른기술,094940,컴퓨터 및 주변장치 제조업,KOSDAQ  코스닥 IT H/W,FICS  컴퓨터 및 주변기기,145.23,79.95,2.73
웨이브일렉트로,095270,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",KOSDAQ  코스닥 IT H/W,FICS  통신장비,-,79.95,3.06
한진중공업,097230,토목 건설업,KSE  코스피 건설업,FICS  건설,1.37,7.51,2.40
빅솔론,093190,컴퓨터 및 주변장치 제조업,KOSDAQ  코스닥 IT H/W,FICS  컴퓨터 및 주변기기,9.34,79.95,0.55
JW홀딩스,096760,기타 금융업,KSE  코스피 금융업,FICS  제약,-,8.49,2.33
S&K폴리텍,091340,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  전자 장비 및 기기,4.08,79.95,0.69
SK이노베이션,096770,석유 정제품 제조업,KSE  코스피 화학,FICS  석유 및 가스,-,65.84,1.45
율호,072770,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",KOSDAQ  코스닥 IT S/W & SVC,FICS  일반 소프트웨어,-,63.90,3.03
갤럭시아머니트리,094480,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  인터넷 서비스,19.48,63.90,1.68
에코프로,086520,기타 화학제품 제조업,KOSDAQ  코스닥 IT H/W,FICS  전자 장비 및 기기,66.01,79.95,5.10
MP그룹,065150,음·식료품 및 담배 도매업,KOSDAQ  코스닥 유통,FICS  식료품,100.30,428.28,1.97
컴투스,078340,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  게임 소프트웨어,18.19,63.90,2.07
네오위즈,095660,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  게임 소프트웨어,22.02,63.90,1.57
삼성카드,029780,기타 금융업,KSE  코스피 금융업,FICS  소비자 금융,10.87,8.49,0.51
앤씨앤,092600,반도체 제조업,KOSDAQ  코스닥 IT H/W,FICS  보안장비,-,79.95,2.89
엔텔스,069410,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  IT 서비스,38.02,63.90,1.77
베트남개발1,096300,신탁업 및 집합투자업,KSE,FICS  부동산,-,-,-
알루코,001780,1차 비철금속 제조업,KSE  코스피 철강및금속,FICS  금속 및 광물,-,16.61,1.80
풍강,093380,기타 금속 가공제품 제조업,KOSDAQ  코스닥 제조,FICS  자동차부품,265.15,265.86,0.68
웅진씽크빅,095720,초등 교육기관,KSE  코스피 서비스업,FICS  교육,-,62.18,0.74
동국제약,086450,의약품 제조업,KOSDAQ  코스닥 제조,FICS  제약,24.90,265.86,3.83
케이프,064820,선박 및 보트 건조업,KOSDAQ  코스닥 제조,FICS  조선,20.28,265.86,0.88
상신이디피,091580,일차전지 및 축전지 제조업,KOSDAQ  코스닥 IT H/W,FICS  전자 장비 및 기기,38.13,79.95,2.96
한라IMS,092460,선박 및 보트 건조업,KOSDAQ  코스닥 제조,FICS  조선,16.88,265.86,0.88
에프알텍,073540,통신 및 방송 장비 제조업,KOSDAQ  코스닥 IT H/W,FICS  통신장비,-,79.95,1.96
이엠텍,091120,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  휴대폰 및 관련부품,609.96,79.95,1.28
참좋은여행,094850,여행사 및 기타 여행보조 서비스업,KOSDAQ  코스닥 기타서비스,FICS  호텔 및 레저,6.76,-,1.50
코닉글로리,094860,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  일반 소프트웨어,-,63.90,11.40
맵스리얼티1,094800,신탁업 및 집합투자업,KSE,FICS  부동산,-,-,-
이베스트투자증권,078020,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  증권,7.13,22.62,0.72
매커스,093520,기계장비 및 관련 물품 도매업,KOSDAQ  코스닥 유통,FICS  반도체 및 관련장비,18.85,428.28,1.45
오스템임플란트,048260,의료용 기기 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,-,265.86,8.21
나노캠텍,091970,플라스틱제품 제조업,KOSDAQ  코스닥 제조,FICS  화학,-,265.86,0.80
네오팜,092730,기타 화학제품 제조업,KOSDAQ  코스닥 제조,FICS  개인생활용품,13.72,265.86,2.53
비에이치,090460,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  전자 장비 및 기기,11.58,79.95,1.99
오스코텍,039200,의약품 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,-,265.86,22.60
켐트로닉스,089010,기타 화학제품 제조업,KOSDAQ  코스닥 제조,FICS  화학,28.41,265.86,4.46
제이스텍,090470,특수 목적용 기계 제조업,KOSDAQ  코스닥 IT H/W,FICS  디스플레이 및 관련부품,73.83,79.95,0.89
동아엘텍,088130,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  디스플레이 및 관련부품,8.33,265.86,0.59
메타랩스,090370,봉제의복 제조업,"KSE  코스피 섬유,의복",FICS  섬유 및 의복,-,48.70,1.02
후성,093370,기초 화학물질 제조업,KSE  코스피 화학,FICS  화학,137.19,65.84,5.23
휴온스글로벌,084110,의약품 제조업,KOSDAQ  코스닥 제조,FICS  제약,11.78,265.86,0.82
케이씨티,089150,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",KOSDAQ  코스닥 IT S/W & SVC,FICS  컴퓨터 및 주변기기,104.93,63.90,2.45
파트론,091700,전자부품 제조업,KOSDAQ  코스닥 IT H/W,FICS  휴대폰 및 관련부품,10.35,79.95,1.67
유니테스트,086390,특수 목적용 기계 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,20.45,79.95,3.21
휴림로봇,090710,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  기계,-,265.86,3.05
LF,093050,봉제의복 제조업,"KSE  코스피 섬유,의복",FICS  섬유 및 의복,6.48,48.70,0.36
에스에이티,060540,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",KOSDAQ  코스닥 IT H/W,FICS  휴대폰 및 관련부품,7.12,79.95,0.78
큐에스아이,066310,반도체 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,127.83,79.95,2.59
멀티캠퍼스,067280,기타 교육기관,KOSDAQ  코스닥 IT S/W & SVC,FICS  교육,10.58,63.90,1.76
주연테크,044380,컴퓨터 및 주변장치 제조업,"KSE  코스피 전기,전자",FICS  컴퓨터 및 주변기기,-,33.32,1.23
코스맥스비티아이,044820,기타 금융업,KSE  코스피 금융업,FICS  식료품,405.54,8.49,0.52
이노와이즈,086250,특수 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  자동차부품,-,265.86,-
코세스,089890,특수 목적용 기계 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,21.19,79.95,4.41
인천도시가스,034590,연료용 가스 제조 및 배관공급업,KSE  코스피 전기가스업,FICS  가스,9.99,-,0.56
성창오토텍,080470,자동차 신품 부품 제조업,KOSDAQ  코스닥 제조,FICS  자동차부품,-,265.86,1.75
넥스턴,089140,유리 및 유리제품 제조업,KOSDAQ  코스닥 제조,FICS  기계,31.99,265.86,1.72
제이티,089790,특수 목적용 기계 제조업,KOSDAQ  코스닥 IT H/W,FICS  반도체 및 관련장비,25.06,79.95,3.22
광진윈텍,090150,자동차 신품 부품 제조업,KOSDAQ  코스닥 제조,FICS  자동차부품,21.63,265.86,1.01
이녹스,088390,그외 기타 운송장비 제조업,KOSDAQ  코스닥 제조,FICS  레저용품,-,265.86,0.88
삼정펄프,009770,"펄프, 종이 및 판지 제조업","KSE  코스피 종이,목재",FICS  가정생활용품,15.79,24.35,0.40
KEC,092220,반도체 제조업,"KSE  코스피 전기,전자",FICS  반도체 및 관련장비,-,33.32,1.59
KPX홀딩스,092230,기초 화학물질 제조업,KSE  코스피 화학,FICS  화학,7.74,65.84,0.42
THE E&M,089230,기타 정보 서비스업,KOSDAQ  코스닥 IT S/W & SVC,FICS  인터넷 서비스,-,63.90,1.82
바텍,043150,의료용 기기 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,11.27,265.86,1.54
한컴MDS,086960,소프트웨어 개발 및 공급업,KOSDAQ  코스닥 IT S/W & SVC,FICS  일반 소프트웨어,17.33,63.90,1.14
HDC현대EP,089470,기타 화학제품 제조업,KSE  코스피 화학,FICS  자동차부품,15.53,65.84,0.67
루멘스,038060,반도체 제조업,KOSDAQ  코스닥 IT H/W,FICS  디스플레이 및 관련부품,-,79.95,1.03
세원셀론텍,091090,"구조용 금속제품, 탱크 및 증기발생기 제조업",KSE  코스피 기계,FICS  에너지 시설 및 서비스,-,75.92,1.02
CSA 코스믹,083660,기타 화학제품 제조업,KOSDAQ  코스닥 제조,FICS  개인생활용품,-,265.86,3.67
티엘아이,062860,반도체 제조업,KOSDAQ  코스닥 IT H/W,FICS  디스플레이 및 관련부품,91.81,79.95,1.51
한국전자금융,063570,금융 지원 서비스업,KOSDAQ  코스닥 금융,FICS  상업서비스,40.50,22.62,0.95
쇼박스,086980,"영화, 비디오물, 방송프로그램 제작 및 배급업","KOSDAQ  코스닥 오락, 문화",FICS  미디어,77.59,-,1.79
팬엔터테인먼트,068050,"영화, 비디오물, 방송프로그램 제작 및 배급업","KOSDAQ  코스닥 오락, 문화",FICS  미디어,149.07,-,3.53
루트로닉,085370,의료용 기기 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,-,265.86,2.33
인포뱅크,039290,기타 정보 서비스업,KOSDAQ  코스닥 통신방송서비스,FICS  IT 서비스,123.83,21.25,1.94
노루페인트,090350,기타 화학제품 제조업,KSE  코스피 화학,FICS  건축자재,10.55,65.84,0.62
아모레퍼시픽,090430,기타 화학제품 제조업,KSE  코스피 화학,FICS  개인생활용품,65.03,65.84,3.38
아이오케이,078860,"영화, 비디오물, 방송프로그램 제작 및 배급업","KOSDAQ  코스닥 오락, 문화",FICS  미디어,-,-,0.68
동우팜투테이블,088910,"도축, 육류 가공 및 저장 처리업",KOSDAQ  코스닥 제조,FICS  식료품,32.38,265.86,0.45
롯데관광개발,032350,여행사 및 기타 여행보조 서비스업,KSE  코스피 서비스업,FICS  호텔 및 레저,-,62.18,3.84
제이브이엠,054950,일반 목적용 기계 제조업,KOSDAQ  코스닥 제조,FICS  의료 장비 및 서비스,40.22,265.86,1.61
평화산업,090080,자동차 신품 부품 제조업,KSE  코스피 운수장비,FICS  자동차부품,-,26.97,1.98
우진플라임,049800,특수 목적용 기계 제조업,KSE  코스피 기계,FICS  기계,-,75.92,1.10
팅크웨어,084730,통신 및 방송 장비 제조업,KOSDAQ  코스닥 IT H/W,FICS  자동차부품,44.87,79.95,1.12
