,회사명,종목코드,업종,업종2,업종PER,PER,PBR
1954,한탑,002680,"곡물가공품, 전분 및 전분제품 제조업",식품,29.07,,1.40
1955,한국선재,025550,1차 철강 제조업,철강,41.6,29.57,0.87
1956,대성엘텍,025440,영상 및 음향기기 제조업,자동차부품,46.67,,3.56
1957,시노펙스,025320,전자부품 제조업,핸드셋,-202.0,47.36,3.48
1958,PN풍년,024940,기타 금속 가공제품 제조업,가정용기기와용품,15.82,15.08,1.03
1959,삼천리자전거,024950,생활용품 도매업,레저용장비와제품,-33.68,,1.40
1960,메디앙스,014100,기타 화학제품 제조업,가정용품,14.53,2.68,0.58
1961,KBI메탈,024840,1차 비철금속 제조업,전기장비,-220.85,7.05,0.84
1962,경창산업,024910,자동차 신품 부품 제조업,자동차부품,46.67,,1.32
1963,대륙제관,004780,기타 금속 가공제품 제조업,포장재,16.84,8.31,0.72
1964,동원개발,013120,건물 건설업,건설,7.01,4.10,0.54
1965,세원물산,024830,자동차 신품 부품 제조업,자동차부품,46.67,3.63,0.26
1966,이화전기,024810,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기장비,-220.85,"1,675.00",0.69
1967,케이피에프,024880,기타 금속 가공제품 제조업,기계,-29.49,11.00,0.50
1968,KPX케미칼,025000,기초 화학물질 제조업,화학,69.0,6.03,0.65
1969,지코,010580,자동차 신품 부품 제조업,자동차부품,46.67,,0.97
1970,태평양물산,007980,봉제의복 제조업,"섬유,의류,신발,호화품",33.35,8.92,0.56
1971,KB오토시스,024120,자동차 신품 부품 제조업,자동차부품,46.67,41.19,1.29
1972,신원종합개발,017000,건물 건설업,건설,7.01,20.17,0.64
1973,흥구석유,024060,기타 전문 도매업,석유와가스,-13.96,62.73,1.33
1974,대한약품,023910,의약품 제조업,제약,99.58,7.36,1.06
1975,이화공영,001840,건물 건설업,건설,7.01,159.07,3.17
1976,풍국주정,023900,알코올음료 제조업,음료,98.61,34.40,1.9
1977,한국아트라스비엑스,023890,일차전지 및 축전지 제조업,자동차부품,46.67,12.75,0.66
1978,대림제지,017650,기타 종이 및 판지 제품 제조업,포장재,16.84,28.98,0.69
1979,대한광통신,010170,절연선 및 케이블 제조업,전기장비,-220.85,,1.56
1980,동일철강,023790,1차 철강 제조업,철강,41.6,10.27,0.58
1981,플레이위드,023770,소프트웨어 개발 및 공급업,게임엔터테인먼트,37.25,3.91,2.45
1982,한국캐피탈,023760,기타 금융업,기타금융,4.61,5.99,0.62
1983,한일사료,005860,동물용 사료 및 조제식품 제조업,식품,29.07,,1.11
1984,KC그린홀딩스,009440,기타 금융업,기계,-29.49,13.52,0.61
1985,문배철강,008420,1차 철강 제조업,철강,41.6,13.98,0.56
1986,웅진,016880,기타 금융업,복합기업,29.11,,1.09
1987,모베이스전자,012860,자동차 신품 부품 제조업,자동차부품,46.67,,0.54
1988,CNH,023460,신탁업 및 집합투자업,기타금융,4.61,5.73,0.84
1989,국영지앤엠,006050,유리 및 유리제품 제조업,건축제품,-47.58,83.25,1.69
1990,유진기업,023410,"시멘트, 석회, 플라스터 및 그 제품 제조업",건축자재,36.34,11.37,0.43
1991,제일제강,023440,1차 철강 제조업,철강,41.6,,1.52
1992,보성파워텍,006910,"구조용 금속제품, 탱크 및 증기발생기 제조업",전기장비,-220.85,78.46,1.15
1993,브이티지엠피,018290,컴퓨터 및 주변장치 제조업,화장품,89.76,112.05,3.69
1994,태광,023160,1차 철강 제조업,기계,-29.49,84.19,0.43
1995,오뚜기,007310,기타 식품 제조업,식품,29.07,19.43,1.43
1996,일정실업,008500,편조원단 제조업,자동차부품,46.67,,0.61
1997,한라,014790,토목 건설업,건설,7.01,3.38,0.77
1998,영신금속,007530,기타 금속 가공제품 제조업,자동차부품,46.67,7.74,1.05
1999,엘에스일렉트릭,010120,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",전기장비,-220.85,24.32,1.33
2000,신라섬유,001000,가전제품 및 정보통신장비 소매업,무선통신서비스,13.56,279.09,5.12
2001,원일특강,012620,1차 철강 제조업,철강,41.6,4.80,0.35
2002,서한,011370,건물 건설업,건설,7.01,8.08,0.48
2003,대양금속,009190,1차 철강 제조업,비철금속,21.86,75.47,2.17
2004,이화산업,000760,기타 전문 도매업,화학,69.0,,0.46
2005,동원시스템즈,014820,플라스틱제품 제조업,포장재,16.84,33.07,3.09
2006,바른손,018700,"영화, 비디오물, 방송프로그램 제작 및 배급업",화장품,89.76,,1.75
2007,부방,014470,기타 금융업,가정용기기와용품,15.82,,0.74
2008,삼성중공업,010140,선박 및 보트 건조업,조선,-22.0,,0.65
2009,모토닉,009680,자동차 신품 부품 제조업,자동차부품,46.67,44.19,0.73
2010,화신,010690,자동차 신품 부품 제조업,자동차부품,46.67,29.29,0.64
2011,대명소노시즌,007720,상품 종합 도매업,판매업체,-13.71,1.97,0.76
2012,대양제지,006580,"펄프, 종이 및 판지 제조업",포장재,16.84,4.83,0.47
2013,유니크,011320,자동차 신품 부품 제조업,자동차부품,46.67,42.64,1.76
2014,진로발효,018120,알코올음료 제조업,음료,98.61,12.02,2.51
2015,청보산업,013720,자동차 신품 부품 제조업,자동차부품,46.67,298.43,4.15
2016,삼보산업,009620,1차 비철금속 제조업,비철금속,21.86,,2.82
2017,푸드웰,005670,"과실, 채소 가공 및 저장 처리업",식품,29.07,27.89,0.85
2018,푸른저축은행,007330,은행 및 저축기관,기타금융,4.61,5.34,0.4
2019,피제이전자,006140,의료용 기기 제조업,건강관리장비와용품,208.42,26.60,1.04
2020,베뉴지,019010,종합 소매업,백화점과일반상점,-28.81,11.85,0.27
2021,엠에스씨,009780,기타 식품 제조업,식품,29.07,7.75,0.9
2022,삼화페인트공업,000390,기타 화학제품 제조업,건축자재,36.34,60.19,1.02
2023,행남사,008800,기타 식품 제조업,식품,29.07,63.21,2.84
2024,경동나비엔,009450,가정용 기기 제조업,가정용기기와용품,15.82,16.15,1.89
2025,대동금속,020400,금속 주조업,자동차부품,46.67,35.59,0.69
2026,광림,014200,자동차용 엔진 및 자동차 제조업,기계,-29.49,,1.13
