종목명,현재가,전일비,등락률,거래량,거래대금,전일거래량,시가총액,PER,PBR
백광산업,3990.0,55.0,-1.36%,2590966.0,10625.0,1074245.0,1792.0,18.47,1.0
코스모신소재,22650.0,250.0,+1.12%,2555244.0,57987.0,1993513.0,6625.0,298.03,4.37
영풍제지,7750.0,300.0,-3.73%,2397794.0,19127.0,5439922.0,1720.0,19.23,1.1
KODEX WTI원유선물(H),8960.0,290.0,-3.14%,2390448.0,21267.0,3074574.0,3756.0,,
보해양조,965.0,4.0,+0.42%,2385266.0,2299.0,6788479.0,1230.0,-7.98,1.51
마니커,699.0,6.0,-0.85%,2382100.0,1658.0,3088439.0,1387.0,-2.83,1.81
에이프로젠 KIC,1960.0,40.0,-2.00%,2365002.0,4657.0,13079044.0,3600.0,-12.65,1.06
수산중공업,4440.0,30.0,+0.68%,2327559.0,10376.0,1682896.0,2397.0,4440.0,2.22
동양물산,1585.0,35.0,-2.16%,2315602.0,3651.0,2245789.0,2170.0,16.86,1.57
미래에셋대우,9860.0,0.0,0.00%,2300757.0,22526.0,1914179.0,63628.0,10.3,0.68
한화솔루션,50400.0,900.0,-1.75%,2286436.0,115093.0,1276479.0,80572.0,-92.48,1.34
KEC,2895.0,15.0,+0.52%,2254947.0,6485.0,7771867.0,3379.0,-14.4,1.64
KB금융,43550.0,150.0,-0.34%,2253697.0,97773.0,2585194.0,181084.0,5.31,0.41
LG전자,168000.0,3000.0,-1.75%,2216367.0,370361.0,2499314.0,274928.0,36.49,1.93
한화투자증권,2855.0,45.0,-1.55%,2206571.0,6258.0,4070461.0,6125.0,8.57,0.51
