,회사명,종목코드,업종,업종2,업종PER,PER,PBR
273,현대그린푸드,005440,종합 소매업,식품과기본식료품소매,128.99,20.75,0.44
274,국도화학,007690,기초 화학물질 제조업,화학,69.0,9.46,0.53
275,사조동아원,008040,"곡물가공품, 전분 및 전분제품 제조업",식품,29.07,20.66,0.71
276,경인전자,009140,전자부품 제조업,전자제품,41.38,19.07,0.74
277,무림P&P,009580,"펄프, 종이 및 판지 제조업",종이와목재,41.06,32.35,0.53
278,한솔피엔에스,010420,기타 전문 도매업,종이와목재,41.06,10.62,0.84
279,방림,003610,직물직조 및 직물제품 제조업,"섬유,의류,신발,호화품",22.82,17.54,0.42
280,동원산업,006040,어로 어업,식품,29.07,6.03,0.72
281,대덕,008060,기타 금융업,기타금융,4.61,2.74,0.41
282,아세아제지,002310,"골판지, 종이 상자 및 종이용기 제조업",포장재,16.84,8.83,0.67
283,에스엘,005850,자동차 신품 부품 제조업,자동차부품,46.67,28.36,0.88
284,영원무역홀딩스,009970,기타 금융업,"섬유,의류,신발,호화품",33.35,4.72,0.31
285,우성사료,006980,"곡물가공품, 전분 및 전분제품 제조업",식품,29.07,5.75,0.47
286,유성기업,002920,자동차 신품 부품 제조업,자동차부품,46.67,14.93,0.32
287,화성산업,002460,건물 건설업,건설,7.01,3.42,0.36
288,디티알오토모티브,007340,일차전지 및 축전지 제조업,자동차부품,46.67,5.32,0.38
289,풍산홀딩스,005810,기타 금융업,비철금속,21.86,16.6,0.35
290,부국증권,001270,금융 지원 서비스업,증권,6.53,5.85,0.37
291,계양전기,012200,일반 목적용 기계 제조업,자동차부품,46.67,19.33,0.83
292,동성화학,005190,기초 화학물질 제조업,화학,69.0,5.69,0.65
293,DB금융투자,016610,금융 지원 서비스업,증권,6.53,4.31,0.34
294,포스코,005490,1차 철강 제조업,철강,41.6,24.82,0.48
295,이수화학,005950,기초 화학물질 제조업,화학,69.0,23.99,0.83
296,삼영무역,002810,기타 전문 도매업,화학,69.0,7.95,0.66
297,한양증권,001750,금융 지원 서비스업,증권,6.53,3.35,0.42
298,넥센,005720,고무제품 제조업,자동차부품,46.67,14.12,0.26
299,삼성공조,006660,자동차 신품 부품 제조업,자동차부품,46.67,36.78,0.32
300,참엔지니어링,009310,특수 목적용 기계 제조업,디스플레이장비및부품,86.49,10.32,0.94
301,한국프랜지공업,010100,자동차 신품 부품 제조업,자동차부품,46.67,12.76,0.43
302,유진증권,001200,금융 지원 서비스업,증권,6.53,6.37,0.46
303,한화에어로스페이스,012450,"항공기,우주선 및 부품 제조업",우주항공과국방,50.8,30.36,0.87
304,현대비앤지스틸,004560,1차 철강 제조업,비철금속,21.86,15.22,0.64
305,사조오양,006090,수산물 가공 및 저장 처리업,식품,29.07,4.62,0.52
306,대한화섬,003830,화학섬유 제조업,화학,69.0,8.2,0.24
307,일성신약,003120,의약품 제조업,제약,99.58,48.48,0.36
308,에이프로젠제약,003060,의약품 제조업,제약,99.58,37.74,0.92
309,동부건설,005960,토목 건설업,건설,7.01,4.28,0.67
310,코오롱글로벌,003070,토목 건설업,건설,7.01,6.02,1.0
311,빙그레,005180,낙농제품 및 식용빙과류 제조업,식품,29.07,11.27,0.84
312,조선내화,000480,"내화, 비내화 요업제품 제조업",비철금속,21.86,7.65,0.42
313,남양유업,003920,낙농제품 및 식용빙과류 제조업,식품,29.07,8.96,0.28
314,현대종합상사,011760,상품 종합 도매업,무역회사와판매업체,12.09,8.94,0.59
315,동방아그로,007590,"비료, 농약 및 살균, 살충제 제조업",화학,69.0,12.55,0.54
316,조광피혁,004700,"가죽, 가방 및 유사제품 제조업","섬유,의류,신발,호화품",33.35,19.62,0.68
317,대유에이텍,002880,자동차 신품 부품 제조업,자동차부품,46.67,7.7,0.98
318,삼영전자공업,005680,전자부품 제조업,전기제품,206.26,21.11,0.47
319,신영와코루,005800,봉제의복 제조업,"섬유,의류,신발,호화품",33.35,13.08,0.28
320,조광페인트,004910,기타 화학제품 제조업,건축자재,36.34,13.25,0.32
321,조흥,002600,기타 식품 제조업,식품,29.07,11.72,0.8
322,사조대림,003960,수산물 가공 및 저장 처리업,식품,29.07,6.83,0.34
323,S&T중공업,003570,자동차 신품 부품 제조업,자동차부품,46.67,16.32,0.27
324,한신공영,004960,건물 건설업,건설,7.01,3.02,0.41
325,농심,004370,기타 식품 제조업,식품,29.07,12.94,0.82
326,샘표,007540,기타 금융업,식품,29.07,7.65,0.6
327,고려제강,002240,1차 철강 제조업,철강,41.6,32.72,0.24
328,DRB동일,004840,기타 금융업,자동차부품,46.67,37.69,0.37
329,SG세계물산,004060,상품 종합 도매업,"섬유,의류,신발,호화품",33.35,14.28,0.67
330,롯데정밀화학,004000,기초 화학물질 제조업,화학,69.0,8.52,0.91
331,대림산업,000210,토목 건설업,건설,7.01,4.66,0.52
332,LG상사,001120,상품 중개업,무역회사와판매업체,12.09,7.45,0.71
333,태광산업,003240,화학섬유 제조업,화학,69.0,10.84,0.25
334,CS홀딩스,000590,기타 금융업,철강,41.6,7.41,0.29
335,강남제비스코,000860,기타 화학제품 제조업,건축자재,36.34,8.86,0.26
336,NH투자증권,005940,금융 지원 서비스업,증권,6.53,5.71,0.61
337,NI스틸,008260,1차 철강 제조업,철강,41.6,11.35,0.74
338,오리온홀딩스,001800,기타 금융업,식품,29.07,12.98,0.44
339,깨끗한나라,004540,"펄프, 종이 및 판지 제조업",종이와목재,41.06,3.29,0.84
340,코오롱,002020,기타 금융업,화학,69.0,3.15,0.46
341,대유플러스,000300,통신 및 방송 장비 제조업,자동차부품,46.67,7.8,0.86
342,BYC,001460,봉제의복 제조업,"섬유,의류,신발,호화품",33.35,15.08,0.6
343,한국수출포장공업,002200,"골판지, 종이 상자 및 종이용기 제조업",포장재,16.84,7.64,0.37
